tf,sym,side,score,score_trend,score_smc,score_osc,ep,sl,tp1,tp2,sl_pct,rsi,in_kz,regime,entry_ts,exit_ts,exit_px,exit_type,tp1_hit,outcome,pnl
30m,ADA/USDT,LONG,14,1,1,2,0.2528,0.2511,0.2548,0.2561,0.662,31.3,True,TRENDING,2026-04-18 10:00:00+00:00,2026-04-18 11:00:00+00:00,0.2511,SL,False,LOSS,-10.0
30m,ADA/USDT,LONG,13,1,0,2,0.2519,0.2502,0.2539,0.2553,0.673,25.8,False,TRENDING,2026-04-18 11:00:00+00:00,2026-04-18 13:30:00+00:00,0.2502,SL,False,LOSS,-10.0
30m,ADA/USDT,LONG,12,0,0,2,0.2511,0.2494,0.2531,0.2545,0.67,25.3,True,TRENDING,2026-04-18 13:30:00+00:00,2026-04-18 16:00:00+00:00,0.2494,SL,False,LOSS,-10.0
30m,ADA/USDT,LONG,14,0,2,2,0.2501,0.2486,0.2519,0.2532,0.61,29.8,True,TRENDING,2026-04-18 16:00:00+00:00,2026-04-18 17:00:00+00:00,0.2486,SL,False,LOSS,-10.0
30m,ADA/USDT,LONG,14,0,2,2,0.2491,0.2475,0.251,0.2522,0.624,24.5,False,TRENDING,2026-04-18 17:00:00+00:00,2026-04-18 18:30:00+00:00,0.2475,SL,False,LOSS,-10.0
30m,ADA/USDT,LONG,14,0,2,2,0.2477,0.2462,0.2496,0.2508,0.625,23.9,False,TRENDING,2026-04-18 18:30:00+00:00,2026-04-18 23:00:00+00:00,0.2508,TP2,True,WIN,16.67
30m,ADA/USDT,SHORT,12,0,1,2,0.25,0.2523,0.2472,0.2454,0.92,43.1,False,TRENDING,2026-04-18 23:00:00+00:00,2026-04-19 07:00:00+00:00,0.2454,TP2,True,WIN,16.09
30m,ADA/USDT,SHORT,17,10,1,2,0.2447,0.2509,0.2373,0.2323,2.534,37.7,False,TRENDING,2026-04-19 07:00:00+00:00,2026-04-19 13:00:00+00:00,0.2509,SL,False,LOSS,-10.0
30m,ADA/USDT,LONG,13,0,2,1,0.2498,0.2443,0.2564,0.2608,2.202,54.1,False,TRENDING,2026-04-19 13:00:00+00:00,2026-04-19 18:00:00+00:00,0.2443,SL,False,LOSS,-10.0
1H,ADA/USDT,LONG,15,0,3,2,0.2515,0.2489,0.2546,0.2567,1.029,34.2,True,TRENDING,2026-04-18 14:00:00+00:00,2026-04-18 16:00:00+00:00,0.2489,SL,False,LOSS,-10.0
1H,ADA/USDT,LONG,12,0,0,2,0.2493,0.2468,0.2523,0.2542,0.992,34.4,True,TRENDING,2026-04-18 16:00:00+00:00,2026-04-19 04:00:00+00:00,0.2468,SL,False,LOSS,-10.0
1H,ADA/USDT,LONG,18,0,2,6,0.2478,0.2457,0.2503,0.252,0.838,34.0,False,TRENDING,2026-04-19 04:00:00+00:00,2026-04-19 07:00:00+00:00,0.2457,SL,False,LOSS,-10.0
15m,LINK/USDT,LONG,21,8,3,2,9.571,9.224,9.9874,10.26,3.626,70.7,False,TRENDING,2026-04-16 20:15:00+00:00,2026-04-18 20:45:00+00:00,9.308,TIMEOUT,False,LOSS,-7.58
15m,LINK/USDT,SHORT,18,10,2,2,9.308,9.421,9.1724,9.082,1.214,41.8,False,TRENDING,2026-04-18 20:45:00+00:00,2026-04-19 13:15:00+00:00,9.308,SL_BE,True,WIN,6.0
15m,LINK/USDT,LONG,11,0,2,2,9.332,9.112,9.596,9.772,2.357,68.2,True,TRENDING,2026-04-19 13:15:00+00:00,2026-04-19 18:15:00+00:00,9.112,SL,False,LOSS,-10.0
30m,LINK/USDT,LONG,14,0,0,4,9.23,9.128,9.3524,9.434,1.105,56.3,False,TRENDING,2026-04-16 01:00:00+00:00,2026-04-16 10:00:00+00:00,9.23,SL_BE,True,WIN,6.0
30m,LINK/USDT,SHORT,15,0,5,4,9.236,9.367,9.0788,8.974,1.418,47.9,True,TRENDING,2026-04-16 10:00:00+00:00,2026-04-16 13:00:00+00:00,9.367,SL,False,LOSS,-10.0
30m,LINK/USDT,LONG,17,0,3,4,9.249,9.1981,9.3101,9.3508,0.55,68.0,True,TRENDING,2026-04-16 13:30:00+00:00,2026-04-16 14:30:00+00:00,9.1981,SL,False,LOSS,-10.0
30m,LINK/USDT,LONG,14,0,2,2,9.343,9.123,9.607,9.783,2.355,57.2,False,VOLATILE,2026-04-16 16:30:00+00:00,2026-04-17 05:00:00+00:00,9.343,SL_BE,True,WIN,6.0
30m,LINK/USDT,LONG,12,0,3,2,9.723,9.342,10.18,10.49,3.919,63.2,False,TRENDING,2026-04-17 13:00:00+00:00,2026-04-18 11:30:00+00:00,9.342,SL,False,LOSS,-10.0
30m,LINK/USDT,LONG,15,1,0,4,9.406,9.356,9.4661,9.5061,0.532,23.4,False,TRENDING,2026-04-18 11:30:00+00:00,2026-04-18 13:00:00+00:00,9.356,SL,False,LOSS,-10.0
30m,LINK/USDT,LONG,13,1,0,2,9.361,9.3093,9.423,9.4644,0.552,22.6,False,TRENDING,2026-04-18 13:00:00+00:00,2026-04-18 16:00:00+00:00,9.361,SL_BE,True,WIN,6.0
30m,LINK/USDT,LONG,16,0,2,4,9.402,9.313,9.5088,9.58,0.947,32.4,True,TRENDING,2026-04-18 16:00:00+00:00,2026-04-18 18:30:00+00:00,9.313,SL,False,LOSS,-10.0
30m,LINK/USDT,LONG,11,0,2,2,9.272,9.224,9.3296,9.368,0.518,27.7,False,TRENDING,2026-04-18 18:30:00+00:00,2026-04-19 00:00:00+00:00,9.272,SL_BE,True,WIN,6.0
30m,LINK/USDT,LONG,15,0,0,5,9.229,9.164,9.307,9.359,0.704,30.3,False,TRENDING,2026-04-19 03:00:00+00:00,2026-04-19 06:00:00+00:00,9.164,SL,False,LOSS,-10.0
30m,LINK/USDT,LONG,16,0,3,3,9.196,9.1469,9.2549,9.2941,0.533,37.7,False,TRENDING,2026-04-19 06:00:00+00:00,2026-04-19 07:00:00+00:00,9.1469,SL,False,LOSS,-10.0
30m,LINK/USDT,SHORT,18,9,0,2,9.118,9.348,8.842,8.658,2.522,39.1,False,TRENDING,2026-04-19 07:00:00+00:00,2026-04-19 13:00:00+00:00,9.348,SL,False,LOSS,-10.0
30m,LINK/USDT,LONG,11,0,2,2,9.332,9.103,9.6068,9.79,2.454,54.9,False,TRENDING,2026-04-19 13:00:00+00:00,2026-04-19 21:30:00+00:00,9.103,SL,False,LOSS,-10.0
1H,LINK/USDT,LONG,13,0,1,2,9.308,9.2303,9.4013,9.4635,0.835,30.1,False,TRENDING,2026-04-18 20:00:00+00:00,2026-04-19 00:00:00+00:00,9.2303,SL,False,LOSS,-10.0
1H,LINK/USDT,LONG,14,0,2,2,9.247,9.1768,9.3313,9.3875,0.76,32.6,False,TRENDING,2026-04-19 00:00:00+00:00,2026-04-19 02:00:00+00:00,9.1768,SL,False,LOSS,-10.0
1H,LINK/USDT,LONG,12,0,3,2,9.196,9.1255,9.2806,9.337,0.766,28.8,False,TRENDING,2026-04-19 02:00:00+00:00,2026-04-19 06:00:00+00:00,9.196,SL_BE,True,WIN,6.0
15m,AVAX/USDT,LONG,18,9,2,2,9.568,9.351,9.8284,10.0,2.268,57.8,False,TRENDING,2026-04-16 06:45:00+00:00,2026-04-16 10:15:00+00:00,9.351,SL,False,LOSS,-10.0
15m,AVAX/USDT,SHORT,14,0,3,2,9.354,9.615,9.0408,8.832,2.79,34.4,True,TRENDING,2026-04-16 14:30:00+00:00,2026-04-16 16:00:00+00:00,9.615,SL,False,LOSS,-10.0
15m,AVAX/USDT,LONG,14,1,1,2,9.465,9.417,9.5226,9.561,0.507,27.4,False,TRENDING,2026-04-17 05:15:00+00:00,2026-04-17 06:45:00+00:00,9.561,TP2,True,WIN,16.0
15m,AVAX/USDT,LONG,15,2,3,0,9.56,9.449,9.6932,9.782,1.161,45.6,False,TRENDING,2026-04-17 06:45:00+00:00,2026-04-17 10:30:00+00:00,9.56,SL_BE,True,WIN,6.0
15m,AVAX/USDT,LONG,12,5,0,1,9.517,9.449,9.5986,9.653,0.715,45.6,False,TRENDING,2026-04-17 10:30:00+00:00,2026-04-17 11:30:00+00:00,9.653,TP2,True,WIN,16.0
15m,AVAX/USDT,LONG,17,8,2,2,9.871,9.505,10.31,10.6,3.708,71.7,True,TRENDING,2026-04-17 13:15:00+00:00,2026-04-18 09:00:00+00:00,9.505,SL,False,LOSS,-10.0
15m,AVAX/USDT,SHORT,19,9,2,4,9.547,9.738,9.3178,9.165,2.001,30.3,True,TRENDING,2026-04-18 09:15:00+00:00,2026-04-19 07:15:00+00:00,9.165,TP2,True,WIN,16.0
15m,AVAX/USDT,SHORT,21,9,1,4,9.14,9.328,8.9144,8.764,2.057,40.3,True,TRENDING,2026-04-19 07:15:00+00:00,2026-04-19 13:15:00+00:00,9.328,SL,False,LOSS,-10.0
15m,AVAX/USDT,LONG,13,0,4,2,9.322,9.151,9.5272,9.664,1.834,68.2,True,TRENDING,2026-04-19 13:30:00+00:00,2026-04-19 17:45:00+00:00,9.151,SL,False,LOSS,-10.0
30m,AVAX/USDT,SHORT,13,0,2,2,9.564,9.6234,9.4927,9.4452,0.621,64.6,False,TRENDING,2026-04-16 07:00:00+00:00,2026-04-16 08:30:00+00:00,9.4452,TP2,True,WIN,16.0
30m,AVAX/USDT,LONG,14,0,2,2,9.696,9.249,10.23,10.59,4.61,60.5,False,VOLATILE,2026-04-16 20:30:00+00:00,2026-04-18 21:30:00+00:00,9.396,TIMEOUT,False,LOSS,-6.71
30m,AVAX/USDT,SHORT,17,10,2,1,9.396,9.4471,9.3347,9.2938,0.544,40.0,False,TRENDING,2026-04-18 21:30:00+00:00,2026-04-19 00:00:00+00:00,9.2938,TP2,True,WIN,16.0
30m,AVAX/USDT,SHORT,16,10,0,2,9.292,9.445,9.1084,8.986,1.647,33.1,False,TRENDING,2026-04-19 00:00:00+00:00,2026-04-19 23:00:00+00:00,8.986,TP2,True,WIN,16.0
1H,AVAX/USDT,LONG,13,0,0,3,9.405,9.3094,9.5197,9.5962,1.017,35.5,True,TRENDING,2026-04-18 15:00:00+00:00,2026-04-18 18:00:00+00:00,9.3094,SL,False,LOSS,-10.0
1H,AVAX/USDT,LONG,14,0,0,4,9.334,9.2434,9.4428,9.5153,0.971,34.7,False,TRENDING,2026-04-18 18:00:00+00:00,2026-04-19 02:00:00+00:00,9.2434,SL,False,LOSS,-10.0
15m,SUI/USDT,SHORT,15,0,4,4,0.9561,0.9737,0.935,0.9209,1.841,45.1,False,TRENDING,2026-04-16 01:15:00+00:00,2026-04-16 03:45:00+00:00,0.9737,SL,False,LOSS,-10.0
