sym,side,entry,ep,sl,tp1,tp2,score,sess,kz,rsi,exit,outcome,pnl,tp1_hit
ETHUSDT,LONG,2024-05-25 19:00:00+00:00,3759.99,3720.86,3806.946,3881.293,8,US,False,55.2,2024-05-26 16:00:00+00:00,WIN,21.5,True
ETHUSDT,SHORT,2024-06-19 08:00:00+00:00,3544.2,3588.67,3490.836,3406.343,8,ASIA,True,63.1,2024-06-19 17:00:00+00:00,LOSS,-10.0,False
ETHUSDT,SHORT,2024-06-22 08:00:00+00:00,3494.33,3528.4,3453.446,3388.713,9,ASIA,True,44.5,2024-06-24 02:00:00+00:00,WIN,21.5,True
ETHUSDT,SHORT,2024-06-25 02:00:00+00:00,3349.2,3394.6,3294.72,3208.46,8,LATE,False,48.8,2024-06-25 05:00:00+00:00,LOSS,-10.0,False
ETHUSDT,SHORT,2024-06-27 06:00:00+00:00,3368.84,3478.09,3237.74,3030.165,8,ASIA,False,45.4,2024-06-27 14:00:00+00:00,LOSS,-10.0,False
ETHUSDT,SHORT,2024-06-29 09:00:00+00:00,3392.57,3409.4914,3372.2643,3340.1136,9,ASIA,True,45.4,2024-06-30 17:00:00+00:00,LOSS,1.0,True
ETHUSDT,LONG,2024-07-20 11:00:00+00:00,3488.74,3469.2976,3512.0709,3549.0114,8,EUROPE,False,54.5,2024-07-21 17:00:00+00:00,LOSS,1.0,True
ETHUSDT,SHORT,2024-07-28 00:00:00+00:00,3249.19,3327.78,3154.882,3005.561,8,LATE,False,45.7,2024-07-29 02:00:00+00:00,LOSS,-10.0,False
ETHUSDT,SHORT,2024-07-31 20:00:00+00:00,3266.21,3349.99,3165.674,3006.492,8,US,False,39.0,2024-08-02 15:00:00+00:00,WIN,21.5,True
ETHUSDT,SHORT,2024-08-16 11:00:00+00:00,2617.91,2642.9961,2587.8067,2540.1431,8,EUROPE,False,51.9,2024-08-18 09:00:00+00:00,LOSS,1.0,True
ETHUSDT,LONG,2024-08-25 09:00:00+00:00,2751.57,2731.6191,2775.5111,2813.4178,9,ASIA,True,48.0,2024-08-26 02:00:00+00:00,LOSS,1.0,True
ETHUSDT,SHORT,2024-08-29 22:00:00+00:00,2530.0,2595.96,2450.848,2325.524,8,US,False,45.7,2024-09-04 01:00:00+00:00,WIN,21.5,True
ETHUSDT,LONG,2024-09-14 12:00:00+00:00,2417.32,2374.25,2469.004,2550.837,8,EUROPE,False,55.6,2024-09-14 18:00:00+00:00,LOSS,-10.0,False
ETHUSDT,SHORT,2024-09-18 09:00:00+00:00,2321.2,2365.38,2268.184,2184.242,9,ASIA,True,46.9,2024-09-18 18:00:00+00:00,LOSS,-10.0,False
ETHUSDT,LONG,2024-09-24 20:00:00+00:00,2650.6,2592.17,2720.716,2831.733,8,US,False,55.2,2024-09-25 17:00:00+00:00,LOSS,-10.0,False
ETHUSDT,LONG,2024-09-28 10:00:00+00:00,2669.81,2650.0,2693.582,2731.221,9,EUROPE,True,45.8,2024-09-29 06:00:00+00:00,LOSS,-10.0,False
ETHUSDT,SHORT,2024-10-05 20:00:00+00:00,2396.79,2428.1,2359.218,2299.729,8,US,False,43.9,2024-10-06 09:00:00+00:00,LOSS,-10.0,False
ETHUSDT,SHORT,2024-10-09 17:00:00+00:00,2434.14,2472.1,2388.588,2316.464,8,US,False,47.4,2024-10-12 14:00:00+00:00,LOSS,1.0,True
ETHUSDT,LONG,2024-10-14 04:00:00+00:00,2521.29,2440.01,2618.826,2773.258,8,ASIA,False,72.4,2024-10-25 23:00:00+00:00,LOSS,1.0,True
ETHUSDT,SHORT,2024-11-04 15:00:00+00:00,2450.52,2485.77,2408.22,2341.245,9,US,True,44.7,2024-11-06 00:00:00+00:00,LOSS,1.0,True
ETHUSDT,LONG,2024-12-07 10:00:00+00:00,3986.07,3952.1761,4026.7427,4091.1412,9,EUROPE,True,54.3,2024-12-08 08:00:00+00:00,LOSS,-10.0,False
ETHUSDT,LONG,2024-12-08 16:00:00+00:00,3990.94,3922.41,4073.176,4203.383,11,US,True,53.0,2024-12-09 03:00:00+00:00,LOSS,-10.0,False
ETHUSDT,LONG,2024-12-16 15:00:00+00:00,3930.0,3883.6,3985.68,4073.84,9,US,True,50.9,2024-12-16 18:00:00+00:00,WIN,21.5,True
ETHUSDT,SHORT,2024-12-28 07:00:00+00:00,3341.81,3396.0,3276.782,3173.821,8,ASIA,False,47.1,2024-12-28 14:00:00+00:00,LOSS,-10.0,False
ETHUSDT,LONG,2025-01-05 22:00:00+00:00,3645.65,3593.62,3708.086,3806.943,8,US,False,61.9,2025-01-07 14:00:00+00:00,LOSS,1.0,True
ETHUSDT,SHORT,2025-01-11 00:00:00+00:00,3267.1,3323.16,3199.828,3093.314,8,LATE,False,48.2,2025-01-13 00:00:00+00:00,LOSS,-10.0,False
ETHUSDT,SHORT,2025-01-13 03:00:00+00:00,3256.01,3338.65,3156.842,2999.826,8,ASIA,False,46.0,2025-01-13 14:00:00+00:00,WIN,21.5,True
