strategy,symbol,side,entry_time,entry_px,sl_px,tp_px,atr,exit_time,exit_px,outcome,pnl_pct,pnl_usd,score,passed,session,in_killzone,adx,rsi,vol_expand
COMBINED,ETHUSDT,SHORT,2024-07-28 08:00:00+00:00,3227.81,3256.7798,3155.3855,24.1415,2024-07-28 11:00:00+00:00,3256.7798,LOSS,-0.898,-15.0,62,6,EUROPE,False,26.8,50.0,False
COMBINED,ETHUSDT,SHORT,2024-07-29 06:00:00+00:00,3368.2,3396.5054,3297.4365,23.5878,2024-07-29 09:00:00+00:00,3396.5054,LOSS,-0.84,-15.0,74,7,EUROPE,True,30.6,74.2,True
COMBINED,ETHUSDT,SHORT,2024-07-29 09:00:00+00:00,3374.0,3401.222,3305.945,22.685,2024-07-29 15:00:00+00:00,3305.945,WIN,2.017,37.5,72,7,US,True,33.0,50.4,True
COMBINED,ETHUSDT,SHORT,2024-07-29 15:00:00+00:00,3325.9,3353.9645,3255.7387,23.3871,2024-07-30 08:00:00+00:00,3353.9645,LOSS,-0.844,-15.0,60,6,ASIA,True,19.2,55.7,False
COMBINED,ETHUSDT,SHORT,2024-07-30 15:00:00+00:00,3301.6,3334.0545,3220.4638,27.0454,2024-07-31 13:00:00+00:00,3334.0545,LOSS,-0.983,-15.0,52,5,EUROPE,False,20.7,53.5,False
COMBINED,ETHUSDT,SHORT,2024-07-31 14:00:00+00:00,3331.65,3359.7852,3261.3119,23.446,2024-07-31 19:00:00+00:00,3261.3119,WIN,2.111,37.5,44,4,US,False,15.8,52.9,True
COMBINED,ETHUSDT,SHORT,2024-08-01 05:00:00+00:00,3147.7,3187.7405,3047.5987,33.3671,2024-08-01 09:00:00+00:00,3187.7405,LOSS,-1.272,-15.0,72,7,EUROPE,True,41.8,37.8,False
COMBINED,ETHUSDT,SHORT,2024-08-01 09:00:00+00:00,3184.41,3222.0011,3090.4322,31.3259,2024-08-01 17:00:00+00:00,3090.4322,WIN,2.951,37.5,72,7,US,False,46.6,27.2,True
COMBINED,ETHUSDT,SHORT,2024-08-01 17:00:00+00:00,3107.4,3143.0745,3018.2137,29.7288,2024-08-01 20:00:00+00:00,3143.0745,LOSS,-1.148,-15.0,72,7,US,False,49.7,38.8,True
COMBINED,ETHUSDT,SHORT,2024-08-01 20:00:00+00:00,3131.43,3169.6354,3035.9164,31.8379,2024-08-01 21:00:00+00:00,3169.6354,LOSS,-1.22,-15.0,54,5,US,False,47.9,47.7,False
