tf,sym,side,score,score_trend,score_smc,score_osc,ep,sl,tp1,tp2,sl_pct,rsi,in_kz,regime,entry_ts,exit_ts,exit_px,exit_type,tp1_hit,outcome,pnl
30m,XRP/USDT,LONG,11,8,2,2,2.424,2.3007,2.572,2.6706,5.087,71.9,False,TRENDING,2025-11-10 02:30:00+00:00,2025-11-11 17:00:00+00:00,2.424,SL_BE,True,WIN,6.0
30m,XRP/USDT,LONG,8,0,1,6,2.3845,2.3675,2.4049,2.4185,0.714,37.3,False,TRENDING,2025-11-12 00:30:00+00:00,2025-11-12 02:30:00+00:00,2.3845,SL_BE,True,WIN,6.0
30m,XRP/USDT,SHORT,8,6,3,0,2.389,2.4225,2.3488,2.322,1.402,45.6,False,TRENDING,2025-11-12 06:30:00+00:00,2025-11-12 09:00:00+00:00,2.4225,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,8,7,2,0,2.3377,2.449,2.2041,2.1151,4.761,25.3,False,TRENDING,2025-11-12 16:30:00+00:00,2025-11-13 03:30:00+00:00,2.449,SL,False,LOSS,-10.0
30m,XRP/USDT,LONG,8,7,2,0,2.4732,2.3163,2.6615,2.787,6.344,71.8,False,TRENDING,2025-11-13 04:30:00+00:00,2025-11-13 19:30:00+00:00,2.3163,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,9,8,2,0,2.2985,2.5264,2.025,1.8427,9.915,21.4,False,TRENDING,2025-11-13 20:30:00+00:00,2025-11-15 21:30:00+00:00,2.2267,TIMEOUT,False,WIN,3.15
30m,XRP/USDT,SHORT,9,8,2,0,2.2393,2.2789,2.1918,2.1601,1.768,43.4,False,RANGING,2025-11-15 22:30:00+00:00,2025-11-16 02:30:00+00:00,2.2393,SL_BE,True,WIN,6.0
30m,XRP/USDT,SHORT,10,9,2,0,2.245,2.2715,2.2132,2.192,1.18,46.5,False,TRENDING,2025-11-16 02:30:00+00:00,2025-11-16 08:00:00+00:00,2.2715,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,8,3,2,2,2.2652,2.2806,2.2468,2.2345,0.678,52.1,True,RANGING,2025-11-16 08:30:00+00:00,2025-11-16 11:30:00+00:00,2.2345,TP2,True,WIN,15.94
30m,XRP/USDT,SHORT,10,8,2,0,2.2241,2.2803,2.1567,2.1117,2.527,35.5,True,RANGING,2025-11-16 14:30:00+00:00,2025-11-16 18:00:00+00:00,2.2241,SL_BE,True,WIN,6.0
30m,XRP/USDT,SHORT,10,8,3,0,2.1885,2.2803,2.0783,2.0049,4.195,43.3,False,TRENDING,2025-11-16 18:30:00+00:00,2025-11-17 09:30:00+00:00,2.2803,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,12,10,2,0,2.2555,2.2857,2.2193,2.1951,1.339,29.3,True,RANGING,2025-11-17 14:30:00+00:00,2025-11-17 16:00:00+00:00,2.1951,TP2,True,WIN,15.99
30m,XRP/USDT,SHORT,9,8,2,0,2.2201,2.3075,2.1152,2.0453,3.937,36.1,False,RANGING,2025-11-17 16:30:00+00:00,2025-11-18 15:00:00+00:00,2.2201,SL_BE,True,WIN,6.0
30m,XRP/USDT,SHORT,10,8,3,0,2.1682,2.2414,2.0804,2.0218,3.376,39.3,False,RANGING,2025-11-19 04:30:00+00:00,2025-11-20 16:00:00+00:00,2.0218,TP2,True,WIN,16.0
30m,XRP/USDT,SHORT,9,8,2,0,2.0099,2.1482,1.8439,1.7333,6.881,21.8,False,RANGING,2025-11-20 16:30:00+00:00,2025-11-22 17:30:00+00:00,1.9302,TIMEOUT,True,WIN,8.88
30m,XRP/USDT,LONG,9,8,2,0,2.2184,2.0383,2.4345,2.5786,8.118,80.0,False,RANGING,2025-11-24 18:30:00+00:00,2025-11-26 19:30:00+00:00,2.2327,TIMEOUT,False,WIN,0.79
30m,XRP/USDT,LONG,9,8,2,0,2.2266,2.1443,2.3254,2.3912,3.696,59.2,False,RANGING,2025-11-26 20:30:00+00:00,2025-11-28 21:30:00+00:00,2.1827,TIMEOUT,False,LOSS,-5.33
30m,XRP/USDT,LONG,12,8,2,2,2.2029,2.1661,2.2471,2.2765,1.671,58.6,True,RANGING,2025-11-29 14:30:00+00:00,2025-11-30 23:30:00+00:00,2.1661,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,9,8,2,0,2.0575,2.2149,1.8686,1.7427,7.65,14.3,False,VOLATILE,2025-12-01 00:30:00+00:00,2025-12-03 01:30:00+00:00,2.1617,TIMEOUT,False,LOSS,-6.62
30m,XRP/USDT,LONG,11,7,2,2,2.1992,2.1416,2.2683,2.3144,2.619,65.8,False,TRENDING,2025-12-03 04:30:00+00:00,2025-12-04 12:00:00+00:00,2.1416,SL,False,LOSS,-10.0
30m,XRP/USDT,LONG,8,3,3,2,2.146,2.1344,2.1599,2.1692,0.539,26.4,False,TRENDING,2025-12-04 12:30:00+00:00,2025-12-04 13:30:00+00:00,2.1344,SL,False,LOSS,-10.0
30m,XRP/USDT,LONG,9,3,1,4,2.1204,2.1081,2.1352,2.1451,0.582,35.3,True,TRENDING,2025-12-04 14:30:00+00:00,2025-12-04 16:00:00+00:00,2.1451,TP2,True,WIN,16.06
30m,XRP/USDT,LONG,8,3,3,2,2.1378,2.1145,2.1658,2.1844,1.09,45.5,False,TRENDING,2025-12-04 16:30:00+00:00,2025-12-04 18:30:00+00:00,2.1145,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,10,5,3,2,2.1035,2.179,2.0129,1.9525,3.589,36.9,False,TRENDING,2025-12-04 18:30:00+00:00,2025-12-06 19:30:00+00:00,2.0256,TIMEOUT,True,WIN,11.16
30m,XRP/USDT,SHORT,10,9,2,0,2.0306,2.0476,2.0102,1.9966,0.837,45.8,False,RANGING,2025-12-06 20:30:00+00:00,2025-12-07 02:30:00+00:00,2.0476,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,8,6,2,0,2.0306,2.0748,1.9776,1.9422,2.177,41.1,True,RANGING,2025-12-07 08:30:00+00:00,2025-12-07 17:00:00+00:00,2.0748,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,11,10,2,0,2.0448,2.1109,1.9655,1.9126,3.233,44.7,False,RANGING,2025-12-08 00:30:00+00:00,2025-12-08 09:00:00+00:00,2.1109,SL,False,LOSS,-10.0
30m,XRP/USDT,LONG,9,8,2,0,2.165,2.042,2.3126,2.411,5.681,75.1,False,VOLATILE,2025-12-09 16:30:00+00:00,2025-12-10 19:00:00+00:00,2.042,SL,False,LOSS,-10.0
