sym,tf,side,score,score_trend,score_smc,score_osc,score_liq,ep,sl,tp1,tp2,sl_pct,rsi,in_kz,regime,entry_ts,exit_ts,exit_px,exit_type,tp1_hit,outcome,pnl,pnl_pct,notional,balance_at_entry
AVAX/USDT,30m,LONG,12,0,2,2,8,12.63,12.01,13.38,13.88,4.94,25.1,True,TRENDING,2026-01-19 07:30:00+00:00,2026-01-20 22:30:00+00:00,12.01,SL,False,LOSS,-20.91,-4.91,425.91,2129.54
LINK/USDT,15m,SHORT,16,11,1,1,5,12.8,12.87,12.71,12.65,0.586,42.3,True,TRENDING,2026-01-19 08:30:00+00:00,2026-01-19 16:45:00+00:00,12.87,SL,False,LOSS,-1.61,-0.55,293.7,1468.52
SOL/USDT,30m,LONG,17,0,4,5,8,133.86,132.63,135.34,136.32,0.919,28.2,False,TRENDING,2026-01-19 11:00:00+00:00,2026-01-19 23:00:00+00:00,132.63,SL,False,LOSS,-2.71,-0.92,294.76,1473.79
LINK/USDT,30m,LONG,14,0,4,5,5,12.77,12.69,12.86,12.93,0.624,32.7,False,TRENDING,2026-01-19 11:30:00+00:00,2026-01-19 15:00:00+00:00,12.77,SL_BE,True,WIN,1.28,0.35,362.19,1810.95
AVAX/USDT,1h,LONG,12,0,2,2,8,12.69,12.01,13.51,14.06,5.389,31.5,False,TRENDING,2026-01-19 12:00:00+00:00,2026-01-20 22:00:00+00:00,12.01,SL,False,LOSS,-23.75,-5.36,443.19,2215.93
XRP/USDT,1h,SHORT,13,0,1,4,8,1.9716,2.0657,1.8587,1.7834,4.773,35.1,False,TRENDING,2026-01-19 12:00:00+00:00,2026-01-21 14:00:00+00:00,1.9415,TIMEOUT,False,WIN,6.26,1.53,410.3,2051.51
DOGE/USDT,1h,SHORT,11,0,1,2,8,0.1277,0.1379,0.1155,0.1073,7.986,27.4,False,TRENDING,2026-01-19 12:00:00+00:00,2026-01-21 14:00:00+00:00,0.12573,TIMEOUT,False,WIN,6.49,1.54,420.97,2104.84
ADA/USDT,1h,SHORT,12,0,0,4,8,0.3667,0.397,0.3303,0.3061,8.263,36.6,False,TRENDING,2026-01-19 12:00:00+00:00,2026-01-21 14:00:00+00:00,0.3615,TIMEOUT,False,WIN,6.86,1.42,484.01,2420.03
BTC/USDT,1h,LONG,13,0,2,6,5,93027.5,91816.7,94480.46,95449.1,1.302,38.3,False,TRENDING,2026-01-19 12:00:00+00:00,2026-01-20 05:00:00+00:00,91816.7,SL,False,LOSS,-3.33,-1.3,255.9,1279.52
BNB/USDT,1h,LONG,11,0,2,4,5,927.2,899.2,960.8,983.2,3.02,39.7,False,TRENDING,2026-01-19 12:00:00+00:00,2026-01-20 15:00:00+00:00,899.2,SL,False,LOSS,-7.32,-3.02,242.35,1211.73
