sym,tf,side,score,score_trend,score_smc,score_osc,score_liq,ep,sl,tp1,tp2,sl_pct,rsi,in_kz,regime,entry_ts,exit_ts,exit_px,exit_type,tp1_hit,outcome,pnl,pnl_pct,notional,balance_at_entry
BTC/USDT,30m,LONG,19,9,0,4,8,96665.8,95196.0,98429.56,99605.4,1.52,72.5,True,TRENDING,2025-01-02 15:00:00+00:00,2025-01-04 16:00:00+00:00,97705.3,TIMEOUT,True,WIN,3.4,1.45,234.77,1173.87
SOL/USDT,30m,SHORT,15,0,2,5,8,206.7,210.67,201.94,198.76,1.921,72.4,True,TRENDING,2025-01-02 15:00:00+00:00,2025-01-03 09:00:00+00:00,210.67,SL,False,LOSS,-5.12,-1.92,266.34,1331.69
ETH/USDT,1h,LONG,17,9,3,2,5,3469.86,3338.44,3627.56,3732.7,3.787,62.8,True,TRENDING,2025-01-02 16:00:00+00:00,2025-01-04 18:00:00+00:00,3627.19,TIMEOUT,True,WIN,11.41,4.54,251.41,1257.06
BTC/USDT,1h,SHORT,13,0,1,4,8,97235.2,97877.07,96464.95,95951.45,0.66,60.1,True,TRENDING,2025-01-02 16:00:00+00:00,2025-01-02 19:00:00+00:00,97235.2,SL_BE,True,WIN,0.97,0.4,244.05,1220.26
AVAX/USDT,1h,LONG,15,9,1,2,5,39.68,36.61,43.36,45.81,7.727,61.5,True,TRENDING,2025-01-02 16:00:00+00:00,2025-01-04 18:00:00+00:00,41.625,TIMEOUT,False,WIN,19.21,4.9,391.89,1959.47
BNB/USDT,15m,LONG,12,4,0,1,8,707.2,700.7,715.0,720.2,0.919,42.0,False,RANGING,2025-01-02 16:30:00+00:00,2025-01-03 07:45:00+00:00,700.7,SL,False,LOSS,-2.44,-0.92,265.1,1325.48
AVAX/USDT,15m,LONG,17,6,2,2,8,39.68,39.2,40.25,40.63,1.197,52.6,False,TRENDING,2025-01-02 16:45:00+00:00,2025-01-02 17:45:00+00:00,39.2,SL,False,LOSS,-3.33,-1.21,275.64,1378.18
BNB/USDT,2h,LONG,14,8,1,2,5,704.6,698.19,712.29,717.42,0.91,47.9,False,RANGING,2025-01-02 18:00:00+00:00,2025-01-03 08:00:00+00:00,698.19,SL,False,LOSS,-1.99,-0.91,218.62,1093.11
ETH/USDT,2h,LONG,13,8,2,0,5,3463.69,3314.22,3643.05,3762.63,4.315,64.4,False,TRENDING,2025-01-02 18:00:00+00:00,2025-01-04 22:00:00+00:00,3657.06,TIMEOUT,True,WIN,12.21,5.38,226.85,1134.27
DOGE/USDT,30m,LONG,19,11,2,0,8,0.3398,0.3342,0.3467,0.3512,1.674,54.7,False,TRENDING,2025-01-02 19:00:00+00:00,2025-01-03 12:00:00+00:00,0.3512,TP2,True,WIN,11.05,2.69,410.52,2052.59
BTC/USDT,1h,LONG,17,9,0,2,8,97306.3,94405.2,100787.62,103108.5,2.981,64.4,False,TRENDING,2025-01-02 20:00:00+00:00,2025-01-04 22:00:00+00:00,98420.5,TIMEOUT,False,WIN,2.8,1.15,244.25,1221.23
BNB/USDT,1h,LONG,13,4,0,2,8,706.1,698.4,715.34,721.5,1.09,44.7,False,RANGING,2025-01-02 20:00:00+00:00,2025-01-03 08:00:00+00:00,698.4,SL,False,LOSS,-2.4,-1.09,220.53,1102.66
ADA/USDT,1d,LONG,13,0,3,2,8,1.0891,0.7617,1.482,1.7439,30.062,52.5,False,TRENDING,2025-01-03 00:00:00+00:00,2025-01-07 00:00:00+00:00,0.9891,TIMEOUT,False,LOSS,-15.09,-9.18,164.32,821.6
LINK/USDT,15m,LONG,13,1,3,1,8,22.07,21.81,22.38,22.58,1.174,52.7,False,RANGING,2025-01-03 00:30:00+00:00,2025-01-03 03:00:00+00:00,22.07,SL_BE,True,WIN,1.89,0.7,269.34,1346.68
AVAX/USDT,15m,SHORT,12,0,0,4,8,39.11,39.41,38.75,38.51,0.77,49.3,False,RANGING,2025-01-03 00:45:00+00:00,2025-01-03 01:45:00+00:00,39.41,SL,False,LOSS,-2.11,-0.77,274.97,1374.85
ADA/USDT,15m,LONG,16,9,2,2,5,1.0157,0.9567,1.0865,1.1337,5.809,69.2,False,TRENDING,2025-01-03 04:30:00+00:00,2025-01-05 05:00:00+00:00,1.0773,TIMEOUT,True,WIN,18.82,6.52,288.81,1444.05
LINK/USDT,15m,LONG,13,3,3,0,8,22.14,21.91,22.42,22.61,1.057,50.5,False,RANGING,2025-01-03 04:30:00+00:00,2025-01-03 07:00:00+00:00,21.91,SL,False,LOSS,-2.8,-1.04,269.71,1348.57
BNB/USDT,1h,LONG,13,0,2,3,8,699.2,695.67,703.44,706.26,0.505,38.0,True,RANGING,2025-01-03 08:00:00+00:00,2025-01-03 12:00:00+00:00,706.26,TP2,True,WIN,1.78,0.81,220.05,1100.26
SOL/USDT,4h,SHORT,13,0,0,5,8,214.49,218.84,209.27,205.79,2.029,66.9,False,TRENDING,2025-01-03 08:00:00+00:00,2025-01-03 16:00:00+00:00,218.84,SL,False,LOSS,-6.53,-2.03,322.11,1610.56
SOL/USDT,15m,LONG,13,9,0,1,5,209.5,206.18,213.48,216.14,1.585,58.1,True,RANGING,2025-01-03 08:15:00+00:00,2025-01-03 14:30:00+00:00,216.14,TP2,True,WIN,9.24,2.53,364.51,1822.57
BNB/USDT,15m,SHORT,12,0,2,2,8,699.3,707.1,689.94,683.7,1.115,31.6,True,RANGING,2025-01-03 08:30:00+00:00,2025-01-03 12:00:00+00:00,707.1,SL,False,LOSS,-2.95,-1.12,264.61,1323.04
BNB/USDT,2h,LONG,14,3,0,4,8,705.4,696.9,715.6,722.4,1.205,42.9,True,RANGING,2025-01-03 10:00:00+00:00,2025-01-05 08:00:00+00:00,705.4,SL_BE,True,WIN,1.58,0.72,218.22,1091.12
SOL/USDT,30m,LONG,17,9,3,2,5,212.3,205.64,220.29,225.62,3.137,63.3,False,TRENDING,2025-01-03 11:00:00+00:00,2025-01-05 12:00:00+00:00,213.68,TIMEOUT,False,WIN,1.72,0.65,265.31,1326.57
BNB/USDT,1h,LONG,12,3,1,1,8,703.8,696.9,712.08,717.6,0.98,51.7,False,RANGING,2025-01-03 12:00:00+00:00,2025-01-04 00:00:00+00:00,717.6,TP2,True,WIN,3.46,1.57,220.41,1102.04
AVAX/USDT,15m,LONG,15,9,1,2,5,41.34,39.34,43.74,45.34,4.838,72.3,False,TRENDING,2025-01-03 12:45:00+00:00,2025-01-05 13:15:00+00:00,41.977,TIMEOUT,False,WIN,4.23,1.54,274.55,1372.74
ETH/USDT,30m,LONG,15,8,2,2,5,3539.3,3423.23,3678.58,3771.44,3.279,74.4,True,TRENDING,2025-01-03 15:00:00+00:00,2025-01-05 16:00:00+00:00,3634.46,TIMEOUT,False,WIN,6.69,2.69,248.75,1243.76
LINK/USDT,30m,LONG,16,9,2,2,5,23.47,21.64,25.65,27.11,7.764,72.3,True,TRENDING,2025-01-03 15:30:00+00:00,2025-01-05 16:30:00+00:00,23.3,TIMEOUT,False,LOSS,-2.21,-0.72,304.42,1522.12
ADA/USDT,30m,LONG,15,9,1,2,5,1.0862,1.0058,1.1827,1.247,7.402,65.6,True,TRENDING,2025-01-03 15:30:00+00:00,2025-01-05 16:30:00+00:00,1.0819,TIMEOUT,False,LOSS,-1.18,-0.4,297.65,1488.27
SOL/USDT,4h,SHORT,10,0,0,2,8,217.07,221.79,211.4,207.62,2.177,75.4,False,TRENDING,2025-01-03 16:00:00+00:00,2025-01-06 00:00:00+00:00,215.59,TIMEOUT,False,WIN,2.19,0.68,320.81,1604.03
SOL/USDT,15m,LONG,18,9,2,4,5,218.22,211.0,226.88,232.66,3.309,69.0,False,TRENDING,2025-01-03 16:15:00+00:00,2025-01-05 16:45:00+00:00,212.5,TIMEOUT,False,LOSS,-9.6,-2.62,366.36,1831.81
BNB/USDT,30m,LONG,17,9,3,2,5,713.5,696.9,733.42,746.7,2.327,62.6,False,TRENDING,2025-01-03 19:00:00+00:00,2025-01-05 20:00:00+00:00,707.6,TIMEOUT,False,LOSS,-1.86,-0.83,225.48,1127.41
XRP/USDT,4h,LONG,14,9,0,2,5,2.4543,2.033,2.9599,3.2969,17.166,68.6,False,TRENDING,2025-01-03 20:00:00+00:00,2025-01-06 04:00:00+00:00,2.3935,TIMEOUT,False,LOSS,-4.68,-2.48,189.0,944.99
ETH/USDT,15m,LONG,15,9,1,2,5,3612.95,3520.12,3724.35,3798.61,2.569,69.6,False,TRENDING,2025-01-03 20:15:00+00:00,2025-01-05 20:45:00+00:00,3635.99,TIMEOUT,False,WIN,1.61,0.64,251.77,1258.83
BTC/USDT,15m,LONG,15,10,0,2,5,98612.8,96760.0,100836.16,102318.4,1.879,63.2,False,TRENDING,2025-01-03 20:15:00+00:00,2025-01-05 20:45:00+00:00,98288.3,TIMEOUT,False,LOSS,-0.85,-0.33,259.14,1295.69
BNB/USDT,15m,LONG,21,11,1,3,8,712.3,706.6,719.14,723.7,0.8,57.8,False,TRENDING,2025-01-03 20:30:00+00:00,2025-01-04 15:15:00+00:00,712.3,SL_BE,True,WIN,1.27,0.48,264.02,1320.09
DOGE/USDT,15m,LONG,16,9,0,1,8,0.3759,0.364,0.3901,0.3995,3.147,58.4,False,TRENDING,2025-01-03 20:30:00+00:00,2025-01-05 14:15:00+00:00,0.3759,SL_BE,True,WIN,4.64,1.89,245.69,1228.45
LINK/USDT,15m,LONG,18,10,0,2,8,23.59,23.11,24.16,24.55,2.035,59.6,False,TRENDING,2025-01-03 20:30:00+00:00,2025-01-04 04:00:00+00:00,23.11,SL,False,LOSS,-5.48,-2.03,269.15,1345.77
BTC/USDT,2h,LONG,19,10,1,2,8,98195.2,95000.0,102029.44,104585.6,3.254,68.3,False,TRENDING,2025-01-03 22:00:00+00:00,2025-01-06 02:00:00+00:00,99037.9,TIMEOUT,False,WIN,2.12,0.86,246.75,1233.77
DOGE/USDT,30m,LONG,17,9,0,2,8,0.3808,0.3484,0.4196,0.4454,8.493,72.6,False,TRENDING,2025-01-03 23:00:00+00:00,2025-01-06 00:00:00+00:00,0.3818,TIMEOUT,False,WIN,1.08,0.26,412.73,2063.64
AVAX/USDT,1d,LONG,12,0,2,3,7,42.63,33.59,53.48,60.72,21.215,52.8,False,RANGING,2025-01-04 00:00:00+00:00,2025-01-08 00:00:00+00:00,37.418,TIMEOUT,False,LOSS,-29.67,-12.23,242.66,1213.31
ADA/USDT,4h,SHORT,10,0,0,2,8,1.0923,1.1255,1.0524,1.0259,3.041,80.0,False,TRENDING,2025-01-04 00:00:00+00:00,2025-01-06 08:00:00+00:00,1.0851,TIMEOUT,False,WIN,2.21,0.66,334.69,1673.44
DOGE/USDT,4h,SHORT,10,0,0,2,8,0.3921,0.4021,0.3801,0.3721,2.546,78.8,False,TRENDING,2025-01-04 00:00:00+00:00,2025-01-04 20:00:00+00:00,0.3921,SL_BE,True,WIN,4.72,1.53,308.76,1543.8
BTC/USDT,1d,LONG,12,0,3,1,8,98220.8,91535.5,106243.16,111591.4,6.806,54.2,False,RANGING,2025-01-04 00:00:00+00:00,2025-01-08 00:00:00+00:00,95050.1,TIMEOUT,False,LOSS,-6.59,-3.23,204.03,1020.15
BNB/USDT,1d,LONG,14,9,0,2,5,713.4,617.8,828.12,904.6,13.401,55.8,False,RANGING,2025-01-04 00:00:00+00:00,2025-01-08 00:00:00+00:00,695.9,TIMEOUT,False,LOSS,-4.4,-2.45,179.22,896.1
LINK/USDT,2h,LONG,19,9,2,2,8,23.2,21.64,25.07,26.31,6.707,65.1,False,TRENDING,2025-01-04 02:00:00+00:00,2025-01-06 06:00:00+00:00,23.522,TIMEOUT,False,WIN,4.64,1.39,334.07,1670.35
LINK/USDT,1h,LONG,17,9,0,2,8,23.18,21.64,25.02,26.25,6.618,56.1,False,TRENDING,2025-01-04 04:00:00+00:00,2025-01-06 06:00:00+00:00,23.72,TIMEOUT,False,WIN,6.91,2.33,296.42,1482.08
LINK/USDT,4h,LONG,10,0,0,2,8,23.3,19.69,27.62,30.5,15.462,62.0,False,TRENDING,2025-01-04 04:00:00+00:00,2025-01-06 12:00:00+00:00,24.381,TIMEOUT,False,WIN,9.81,4.64,211.48,1057.41
ADA/USDT,2h,SHORT,15,0,2,5,8,1.0742,1.1197,1.0196,0.9832,4.236,71.6,False,TRENDING,2025-01-04 06:00:00+00:00,2025-01-06 10:00:00+00:00,1.0851,TIMEOUT,False,LOSS,-4.27,-1.01,420.39,2101.95
DOGE/USDT,1h,LONG,17,9,0,2,8,0.3842,0.34,0.4372,0.4726,11.506,71.5,True,TRENDING,2025-01-04 08:00:00+00:00,2025-01-06 10:00:00+00:00,0.38527,TIMEOUT,False,WIN,0.98,0.28,352.24,1761.21
SOL/USDT,1h,SHORT,10,0,2,3,5,215.74,219.83,210.83,207.56,1.896,60.0,True,TRENDING,2025-01-04 08:00:00+00:00,2025-01-06 10:00:00+00:00,215.05,TIMEOUT,False,WIN,1.25,0.32,392.18,1960.9
XRP/USDT,30m,LONG,13,0,2,3,8,2.4363,2.4203,2.4555,2.4683,0.657,44.2,False,RANGING,2025-01-04 11:00:00+00:00,2025-01-04 15:30:00+00:00,2.4363,SL_BE,True,WIN,1.16,0.39,293.32,1466.6
AVAX/USDT,30m,LONG,12,5,0,0,8,41.45,41.17,41.79,42.02,0.686,43.6,False,RANGING,2025-01-04 11:30:00+00:00,2025-01-04 14:30:00+00:00,42.02,TP2,True,WIN,3.88,1.1,353.7,1768.52
XRP/USDT,1h,LONG,11,0,1,2,8,2.45,2.4255,2.4794,2.499,1.0,49.6,False,TRENDING,2025-01-04 12:00:00+00:00,2025-01-04 15:00:00+00:00,2.4255,SL,False,LOSS,-2.77,-1.0,277.16,1385.8
BTC/USDT,4h,LONG,17,9,0,2,8,97660.2,92899.1,103373.52,107182.4,4.875,61.3,True,TRENDING,2025-01-04 12:00:00+00:00,2025-01-06 20:00:00+00:00,102223.3,TIMEOUT,False,WIN,9.98,4.67,213.52,1067.6
AVAX/USDT,4h,SHORT,13,0,3,2,8,41.07,42.37,39.51,38.47,3.161,64.7,True,TRENDING,2025-01-04 12:00:00+00:00,2025-01-04 20:00:00+00:00,42.37,SL,False,LOSS,-6.95,-3.17,219.56,1097.79
LINK/USDT,15m,LONG,14,8,2,1,5,23.33,22.88,23.87,24.22,1.912,64.4,False,RANGING,2025-01-04 12:30:00+00:00,2025-01-04 15:30:00+00:00,23.33,SL_BE,True,WIN,3.1,1.16,268.06,1340.29
XRP/USDT,2h,SHORT,14,0,3,3,8,2.4114,2.5144,2.2878,2.2054,4.271,61.1,False,TRENDING,2025-01-04 14:00:00+00:00,2025-01-06 18:00:00+00:00,2.4248,TIMEOUT,False,LOSS,-1.48,-0.56,265.51,1327.56
BNB/USDT,1h,LONG,12,7,0,1,5,710.8,707.05,715.3,718.29,0.527,41.2,True,RANGING,2025-01-04 16:00:00+00:00,2025-01-05 09:00:00+00:00,707.05,SL,False,LOSS,-1.17,-0.53,221.1,1105.5
XRP/USDT,1h,LONG,12,0,3,1,8,2.4201,2.3946,2.4507,2.4711,1.053,40.9,True,TRENDING,2025-01-04 16:00:00+00:00,2025-01-05 01:00:00+00:00,2.3946,SL,False,LOSS,-2.91,-1.05,276.61,1383.03
ADA/USDT,1h,SHORT,12,0,1,3,8,1.0764,1.1197,1.0244,0.9898,4.023,48.4,True,TRENDING,2025-01-04 16:00:00+00:00,2025-01-06 18:00:00+00:00,1.1039,TIMEOUT,False,LOSS,-9.76,-2.55,381.86,1909.28
XRP/USDT,15m,SHORT,12,0,2,2,8,2.4178,2.4632,2.3633,2.327,1.878,40.3,False,RANGING,2025-01-04 16:30:00+00:00,2025-01-06 01:45:00+00:00,2.4178,SL_BE,True,WIN,2.7,1.13,239.21,1196.05
AVAX/USDT,2h,LONG,20,10,0,4,8,41.94,38.91,45.58,48.01,7.239,59.0,False,TRENDING,2025-01-04 18:00:00+00:00,2025-01-06 22:00:00+00:00,44.065,TIMEOUT,False,WIN,15.78,5.07,311.36,1556.78
SOL/USDT,2h,LONG,10,0,0,2,8,215.59,205.64,227.53,235.49,4.615,60.7,False,TRENDING,2025-01-04 18:00:00+00:00,2025-01-06 22:00:00+00:00,218.26,TIMEOUT,False,WIN,3.66,1.24,295.23,1476.16
DOGE/USDT,2h,LONG,17,9,0,2,8,0.3841,0.3359,0.4419,0.4804,12.543,64.3,False,TRENDING,2025-01-04 18:00:00+00:00,2025-01-06 22:00:00+00:00,0.38784,TIMEOUT,False,WIN,2.73,0.97,279.92,1399.59
XRP/USDT,30m,SHORT,14,0,2,4,8,2.4167,2.4632,2.3609,2.3237,1.924,40.6,False,TRENDING,2025-01-04 19:00:00+00:00,2025-01-06 01:30:00+00:00,2.4167,SL_BE,True,WIN,3.39,1.15,293.55,1467.76
AVAX/USDT,30m,LONG,12,6,0,2,5,41.94,40.89,43.2,44.04,2.499,51.9,False,RANGING,2025-01-04 19:30:00+00:00,2025-01-06 09:00:00+00:00,44.04,TP2,True,WIN,14.2,4.01,354.48,1772.4
ETH/USDT,1h,LONG,19,10,2,4,5,3660.66,3572.39,3766.58,3837.2,2.411,62.6,False,TRENDING,2025-01-04 20:00:00+00:00,2025-01-06 22:00:00+00:00,3678.07,TIMEOUT,False,WIN,1.21,0.48,253.69,1268.47
DOGE/USDT,4h,LONG,16,9,2,2,5,0.395,0.312,0.4946,0.5609,21.009,69.4,False,TRENDING,2025-01-04 20:00:00+00:00,2025-01-07 04:00:00+00:00,0.39173,TIMEOUT,False,LOSS,-2.56,-0.83,309.7,1548.52
ETH/USDT,4h,LONG,15,0,3,4,8,3657.06,3314.22,4068.47,4342.74,9.375,71.6,False,TRENDING,2025-01-04 20:00:00+00:00,2025-01-07 04:00:00+00:00,3668.0,TIMEOUT,False,WIN,0.61,0.3,205.25,1026.26
AVAX/USDT,4h,SHORT,12,0,2,2,8,42.63,43.61,41.45,40.67,2.301,65.8,False,TRENDING,2025-01-04 20:00:00+00:00,2025-01-05 20:00:00+00:00,42.63,SL_BE,True,WIN,3.02,1.38,218.17,1090.84
ETH/USDT,2h,LONG,21,9,0,6,8,3657.06,3423.23,3937.66,4124.72,6.394,71.9,False,TRENDING,2025-01-04 22:00:00+00:00,2025-01-07 02:00:00+00:00,3682.83,TIMEOUT,False,WIN,1.62,0.7,229.3,1146.48
DOGE/USDT,1d,LONG,13,0,3,2,8,0.3823,0.2619,0.5269,0.6232,31.501,62.3,False,TRENDING,2025-01-05 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.32095,TIMEOUT,False,LOSS,-32.74,-16.05,204.04,1020.22
AVAX/USDT,1h,LONG,14,8,1,2,5,42.56,40.89,44.56,45.89,3.917,62.6,False,RANGING,2025-01-05 00:00:00+00:00,2025-01-07 02:00:00+00:00,43.65,TIMEOUT,True,WIN,14.37,3.63,395.74,1978.68
BNB/USDT,15m,LONG,12,0,2,2,8,713.4,709.2,718.44,721.8,0.589,58.0,False,RANGING,2025-01-05 04:30:00+00:00,2025-01-05 08:15:00+00:00,709.2,SL,False,LOSS,-1.56,-0.59,264.27,1321.36
LINK/USDT,15m,LONG,13,4,2,3,5,23.57,23.22,23.98,24.26,1.464,52.5,False,RANGING,2025-01-05 04:30:00+00:00,2025-01-05 08:15:00+00:00,23.22,SL,False,LOSS,-3.99,-1.48,268.68,1343.39
XRP/USDT,1h,SHORT,12,0,3,4,5,2.3822,2.4632,2.285,2.2202,3.4,43.2,True,RANGING,2025-01-05 08:00:00+00:00,2025-01-07 10:00:00+00:00,2.4632,SL,False,LOSS,-9.39,-3.4,276.02,1380.12
ADA/USDT,15m,LONG,14,8,2,1,5,1.0803,1.0525,1.1137,1.1359,2.573,50.4,True,VOLATILE,2025-01-05 08:30:00+00:00,2025-01-07 08:30:00+00:00,1.1359,TP2,True,WIN,12.05,4.12,292.57,1462.87
BNB/USDT,15m,SHORT,15,10,0,2,5,707.2,712.6,700.72,696.4,0.764,35.8,False,TRENDING,2025-01-05 12:30:00+00:00,2025-01-06 01:45:00+00:00,712.6,SL,False,LOSS,-2.02,-0.76,263.96,1319.8
BNB/USDT,2h,LONG,12,0,3,1,8,708.0,703.64,713.24,716.73,0.616,42.8,False,RANGING,2025-01-05 14:00:00+00:00,2025-01-05 18:00:00+00:00,703.64,SL,False,LOSS,-1.35,-0.62,218.54,1092.7
SOL/USDT,30m,SHORT,10,0,0,2,8,213.06,218.76,206.22,201.66,2.675,40.2,True,TRENDING,2025-01-05 15:00:00+00:00,2025-01-06 13:30:00+00:00,218.76,SL,False,LOSS,-7.11,-2.68,265.66,1328.29
BNB/USDT,1h,LONG,10,0,0,2,8,706.6,702.3,711.76,715.2,0.609,43.0,True,TRENDING,2025-01-05 16:00:00+00:00,2025-01-06 02:00:00+00:00,715.2,TP2,True,WIN,2.15,0.97,220.87,1104.33
DOGE/USDT,15m,LONG,12,0,2,2,8,0.3821,0.3751,0.3905,0.3961,1.832,51.3,False,TRENDING,2025-01-05 16:30:00+00:00,2025-01-07 01:45:00+00:00,0.3961,TP2,True,WIN,7.23,2.93,246.62,1233.09
LINK/USDT,30m,LONG,14,8,2,1,5,23.35,22.86,23.95,24.35,2.128,54.2,False,RANGING,2025-01-05 19:30:00+00:00,2025-01-06 08:30:00+00:00,23.35,SL_BE,True,WIN,3.91,1.28,303.98,1519.91
AVAX/USDT,4h,SHORT,12,0,2,2,8,43.11,44.05,41.99,41.25,2.163,64.6,False,TRENDING,2025-01-05 20:00:00+00:00,2025-01-06 08:00:00+00:00,44.05,SL,False,LOSS,-4.77,-2.18,218.77,1093.86
SOL/USDT,15m,LONG,12,0,3,1,8,213.5,211.55,215.84,217.4,0.913,51.5,False,RANGING,2025-01-05 20:15:00+00:00,2025-01-06 01:00:00+00:00,211.55,SL,False,LOSS,-3.33,-0.91,364.44,1822.21
BNB/USDT,2h,LONG,13,0,3,2,8,709.1,702.3,717.26,722.7,0.959,46.9,False,RANGING,2025-01-05 22:00:00+00:00,2025-01-06 14:00:00+00:00,722.7,TP2,True,WIN,3.35,1.53,218.27,1091.35
SOL/USDT,4h,SHORT,12,0,2,2,8,215.59,219.83,210.5,207.11,1.967,57.9,False,TRENDING,2025-01-06 00:00:00+00:00,2025-01-06 12:00:00+00:00,219.83,SL,False,LOSS,-6.32,-1.97,321.24,1606.22
BTC/USDT,15m,LONG,17,10,1,3,5,98493.2,97854.1,99260.12,99771.4,0.649,56.0,False,TRENDING,2025-01-06 00:15:00+00:00,2025-01-06 05:30:00+00:00,99771.4,TP2,True,WIN,2.69,1.04,258.97,1294.84
ETH/USDT,30m,LONG,13,0,3,2,8,3670.0,3610.42,3741.5,3789.16,1.623,60.5,False,TRENDING,2025-01-06 03:00:00+00:00,2025-01-06 17:30:00+00:00,3670.0,SL_BE,True,WIN,2.44,0.97,250.09,1250.45
BNB/USDT,30m,LONG,12,0,2,2,8,713.3,703.0,725.66,733.9,1.444,63.2,False,RANGING,2025-01-06 03:00:00+00:00,2025-01-06 16:00:00+00:00,733.9,TP2,True,WIN,5.2,2.31,225.11,1125.55
BTC/USDT,30m,LONG,16,10,1,2,5,99108.7,97570.3,100954.78,102185.5,1.552,62.7,False,TRENDING,2025-01-06 03:00:00+00:00,2025-01-06 15:30:00+00:00,102185.5,TP2,True,WIN,5.85,2.48,235.45,1177.27
XRP/USDT,30m,LONG,12,6,2,0,5,2.4092,2.3583,2.4703,2.511,2.113,54.4,False,RANGING,2025-01-06 03:00:00+00:00,2025-01-07 15:00:00+00:00,2.3583,SL,False,LOSS,-6.22,-2.11,294.23,1471.15
DOGE/USDT,30m,LONG,13,0,5,0,8,0.3858,0.376,0.3975,0.4053,2.532,55.3,False,RANGING,2025-01-06 03:00:00+00:00,2025-01-07 11:30:00+00:00,0.3858,SL_BE,True,WIN,6.26,1.52,412.94,2064.72
XRP/USDT,4h,LONG,15,10,0,2,5,2.3935,2.3271,2.4732,2.5263,2.774,56.8,False,TRENDING,2025-01-06 04:00:00+00:00,2025-01-07 12:00:00+00:00,2.3271,SL,False,LOSS,-5.22,-2.77,188.06,940.31
SOL/USDT,15m,LONG,11,0,2,4,5,216.03,211.55,221.41,224.99,2.074,64.5,False,TRENDING,2025-01-06 04:15:00+00:00,2025-01-07 05:00:00+00:00,216.03,SL_BE,True,WIN,4.53,1.25,363.78,1818.88
ETH/USDT,15m,LONG,11,0,2,4,5,3664.22,3610.42,3728.78,3771.82,1.468,63.2,False,TRENDING,2025-01-06 04:15:00+00:00,2025-01-06 17:30:00+00:00,3664.22,SL_BE,True,WIN,2.22,0.88,252.09,1260.44
BNB/USDT,15m,SHORT,14,0,2,4,8,711.0,716.3,704.64,700.4,0.745,54.0,False,TRENDING,2025-01-06 04:30:00+00:00,2025-01-06 09:45:00+00:00,716.3,SL,False,LOSS,-1.96,-0.75,263.56,1317.78
XRP/USDT,15m,LONG,14,9,0,2,5,2.4155,2.3735,2.4659,2.4995,1.739,56.1,False,RANGING,2025-01-06 04:30:00+00:00,2025-01-06 14:15:00+00:00,2.3735,SL,False,LOSS,-4.17,-1.74,239.75,1198.75
LINK/USDT,15m,LONG,15,9,1,2,5,23.92,23.01,25.02,25.76,3.833,63.5,False,TRENDING,2025-01-06 04:30:00+00:00,2025-01-07 12:15:00+00:00,23.01,SL,False,LOSS,-10.19,-3.8,267.88,1339.4
AVAX/USDT,15m,SHORT,12,0,2,2,8,43.75,44.07,43.36,43.11,0.732,65.2,False,TRENDING,2025-01-06 04:45:00+00:00,2025-01-06 08:00:00+00:00,43.75,SL_BE,True,WIN,1.23,0.45,275.39,1376.97
LINK/USDT,2h,LONG,20,10,2,2,8,23.52,22.86,24.32,24.86,2.836,62.8,False,TRENDING,2025-01-06 06:00:00+00:00,2025-01-07 00:00:00+00:00,23.52,SL_BE,True,WIN,5.7,1.7,335.0,1674.99
BNB/USDT,4h,LONG,13,0,3,2,8,718.6,696.9,744.64,762.0,3.02,56.1,False,RANGING,2025-01-06 08:00:00+00:00,2025-01-07 12:00:00+00:00,718.6,SL_BE,True,WIN,4.19,1.81,231.26,1156.29
ADA/USDT,4h,LONG,15,10,0,2,5,1.0851,0.9554,1.2407,1.3445,11.953,62.3,False,TRENDING,2025-01-06 08:00:00+00:00,2025-01-08 16:00:00+00:00,0.9554,SL,False,LOSS,-40.06,-11.95,335.13,1675.65
AVAX/USDT,4h,SHORT,13,0,1,4,8,44.28,45.25,43.11,42.33,2.199,65.9,False,TRENDING,2025-01-06 08:00:00+00:00,2025-01-07 12:00:00+00:00,42.33,TP2,True,WIN,7.67,3.52,217.82,1089.09
BNB/USDT,1h,LONG,13,0,3,2,8,712.4,702.3,724.52,732.6,1.418,61.2,True,RANGING,2025-01-06 08:00:00+00:00,2025-01-06 16:00:00+00:00,732.6,TP2,True,WIN,5.02,2.27,221.3,1106.48
BTC/USDT,15m,LONG,20,11,0,3,8,99400.1,98762.6,100165.1,100675.1,0.641,60.8,True,TRENDING,2025-01-06 08:15:00+00:00,2025-01-06 10:45:00+00:00,98762.6,SL,False,LOSS,-1.66,-0.64,259.51,1297.53
AVAX/USDT,15m,SHORT,14,0,2,4,8,43.63,43.98,43.21,42.93,0.804,51.3,True,TRENDING,2025-01-06 08:45:00+00:00,2025-01-06 09:15:00+00:00,43.98,SL,False,LOSS,-2.21,-0.8,275.64,1378.2
ADA/USDT,2h,LONG,13,10,0,0,5,1.0851,1.0525,1.1242,1.1503,3.004,53.2,True,TRENDING,2025-01-06 10:00:00+00:00,2025-01-07 10:00:00+00:00,1.1503,TP2,True,WIN,20.16,4.81,419.54,2097.68
AVAX/USDT,30m,SHORT,12,0,2,2,8,44.28,44.7,43.76,43.42,0.965,68.6,False,TRENDING,2025-01-06 11:30:00+00:00,2025-01-06 14:30:00+00:00,43.42,TP2,True,WIN,5.57,1.56,357.32,1786.6
